Película,Género,Ratings Rotten Tomatoes %,Ratings Audiencia %,Presupuesto (millones $),Año Lanzamiento
(500) Days of Summer ,Comedia,87,81,8,2009
"10,000 B.C.",Aventura,9,44,105,2008
12 Rounds ,Acción,30,52,20,2009
127 Hours,Aventura,93,84,18,2010
17 Again ,Comedia,55,70,20,2009
2012,Acción,39,63,200,2009
27 Dresses,Comedia,40,71,30,2008
30 Days of Night,Terror,50,57,32,2007
30 Minutes or Less,Comedia,43,48,28,2011
50/50,Comedia,93,93,8,2011
88 Minutes,Drama,5,51,30,2007
A Dangerous Method,Drama,79,89,20,2011
A Nightmare on Elm Street,Terror,13,40,35,2010
A Serious Man ,Drama,89,64,7,2009
A Very Harold and Kumar Christmas,Comedia,72,71,19,2011
Abduction,Acción,4,46,35,2011
Across the Universe,Romance,54,84,45,2007
Adventureland ,Comedia,89,56,10,2009
Albert Nobbs,Drama,53,43,8,2011
Alice in Wonderland,Aventura,52,72,200,2010
Alien vs. Predator -- Requiem,Terror,14,37,40,2007
Aliens in the Attic ,Aventura,30,46,45,2009
All About Steve ,Comedia,6,35,15,2009
All Good Things,Drama,33,64,20,2010
Amelia ,Aventura,21,35,40,2009
American Gangster,Suspenso,79,87,100,2007
An Education,Drama,94,78,8,2009
Anonymous,Drama,46,66,30,2011
Apollo 18,Terror,23,31,5,2011
Appaloosa,Acción,77,55,20,2008
Armored ,Acción,40,34,20,2009
Arthur,Comedia,26,49,40,2011
Australia,Aventura,55,69,78,2008
Avatar ,Acción,83,92,237,2009
Away We Go ,Comedia,67,74,21,2009
Baby Mama,Comedia,63,59,70,2008
Babylon A.D.,Acción,7,32,45,2008
Bad Teacher,Comedia,44,38,20,2011
Bandslam ,Comedia,79,60,20,2009
Bangkok Dangerous,Acción,9,33,45,2008
Battle: Los Angeles,Acción,35,50,70,2011
"Be Kind, Rewind",Comedia,65,57,20,2008
Beastly,Romance,19,50,17,2011
Bedtime Stories,Comedia,25,63,80,2008
Beginners,Comedia,84,80,4,2010
Beowulf,Acción,71,52,150,2007
Beverly Hills Chihuahua,Aventura,41,56,20,2008
Black Swan        ,Drama,88,86,13,2010
Blades of Glory,Comedia,69,66,61,2007
Body of Lies,Acción,53,65,68,2008
Bride Wars ,Comedia,11,56,30,2009
Bridesmaids,Comedia,90,77,33,2011
Brooklyn's Finest,Acción,42,47,17,2009
Brothers ,Drama,61,62,26,2009
Bruno ,Comedia,68,48,42,2009
Buried,Drama,86,63,2,2010
Burlesque,Drama,36,66,55,2010
Burn After Reading,Comedia,78,64,37,2008
Captain America: The First Avenger,Acción,78,75,140,2011
Case 39,Terror,23,42,26,2009
Cats & Dogs: The Revenge of Kitty Galore,Acción,13,43,85,2010
Cedar Rapids,Comedia,86,61,10,2011
Changeling,Drama,62,84,55,2008
Cirque du Freak: The Vampire's Assistant ,Acción,38,50,40,2009
City Island,Comedia,81,77,6,2009
City of Ember,Aventura,52,48,38,2008
Clash of the Titans,Acción,28,48,125,2010
Cloverfield,Acción,77,67,25,2008
College Road Trip,Aventura,13,56,140,2008
Colombiana,Acción,28,55,40,2011
Conan the Barbarian,Acción,22,34,90,2011
Confessions of a Shopaholic ,Comedia,24,53,70,2009
Contagion,Suspenso,84,63,60,2011
Cop Out,Acción,19,45,30,2010
Country Strong,Drama,20,56,15,2010
Couples Retreat ,Comedia,12,47,60,2009
Cowboys and Aliens,Acción,44,50,163,2011
Crank: High Voltage ,Acción,62,54,13,2009
"Crazy, Stupid, Love",Romance,78,81,50,2011
Cyrus,Comedia,80,51,7,2010
Daddy Day Camp,Comedia,1,63,6,2007
Dance Flick ,Acción,17,35,25,2009
Date Night,Comedia,66,58,55,2010
"Daybreakers	",Acción,67,50,20,2009
Dear John,Drama,29,66,25,2010
Death at a Funeral,Comedia,40,48,21,2007
Death Race,Acción,42,69,45,2008
"Definitely, Maybe",Comedia,71,72,7,2008
Devil,Terror,52,45,10,2010
Diary of a Wimpy Kid,Comedia,53,49,15,2010
Diary of a Wimpy Kid 2: Rodrick Rules,Comedia,47,63,21,2011
Did You Hear About the Morgans? ,Comedia,12,31,58,2009
Dinner for Schmucks,Comedia,43,47,69,2010
Disaster Movie,Comedia,2,28,20,2008
District 9 ,Acción,91,81,30,2009
Disturbia,Suspenso,67,75,20,2007
Dolphin Tale,Drama,84,81,37,2011
Don't Be Afraid Of The Dark,Terror,59,37,25,2010
Doomsday,Acción,48,47,33,2008
Doubt,Drama,78,75,25,2008
Drag Me to Hell ,Terror,92,61,30,2009
Dragon Wars (aka D-War),Acción,27,44,75,2007
Dragonball Evolution ,Acción,15,28,30,2009
Dream House,Terror,7,38,50,2011
Drillbit Taylor,Comedia,26,49,40,2008
Drive,Suspenso,93,79,15,2011
Drive Angry,Acción,45,38,45,2011
Due Date,Comedia,40,56,50,2010
Duplicity ,Romance,64,38,60,2009
Dylan Dog: Dead of Night,Terror,6,28,20,2010
Eagle Eye,Acción,27,72,80,2008
Easy A,Comedia,85,75,8,2010
"Eat Pray Love	",Drama,36,46,60,2010
Enchanted,Comedia,93,80,85,2007
Epic Movie,Comedia,2,38,20,2007
Evan Almighty,Comedia,23,56,175,2007
Everybody's Fine ,Drama,46,55,21,2009
Everything Must Go,Drama,74,53,5,2010
Extract ,Comedia,62,37,8,2009
"Extraordinary Measures	",Drama,27,55,31,2010
Extremely Loud and Incredibly Close,Drama,47,62,40,2011
Fame,Comedia,25,43,18,2009
Fantastic Four: Rise of the Silver Surfer,Acción,35,55,130,2007
Fast and Furious ,Acción,28,76,85,2009
Fast Five,Acción,78,83,125,2011
"Faster	",Acción,41,50,24,2010
Final Destination 5,Terror,61,56,40,2011
Fired Up! ,Comedia,22,52,20,2009
Fireproof,Drama,40,51,1,2008
First Sunday,Comedia,13,59,13,2008
Fool's Gold,Aventura,11,53,73,2008
Footloose,Drama,71,71,24,2011
For Colored Girls,Drama,33,73,21,2010
Forgetting Sarah Marshall,Comedia,85,75,30,2008
Four Christmases,Comedia,26,52,80,2008
Friday the 13th,Terror,25,52,19,2009
Friends With Benefits,Romance,71,68,35,2011
Fright Night,Terror,75,68,30,2011
From Paris with Love,Acción,38,57,52,2010
Funny People ,Comedia,68,58,75,2009
"Furry Vengeance	",Comedia,8,36,35,2010
G-Force ,Acción,22,50,150,2009
G.I. Joe: The Rise of Cobra ,Acción,33,62,175,2009
Gamer ,Acción,29,43,13,2009
Get Him to the Greek,Comedia,73,63,40,2010
Get Smart,Acción,51,73,80,2008
Ghost Rider,Acción,28,56,110,2007
Ghost Town,Comedia,85,60,20,2008
Ghosts of Girlfriends Past ,Comedia,27,47,50,2009
Going the Distance,Comedia,53,56,32,2010
Good Luck Chuck,Comedia,3,61,25,2007
Gran Torino,Drama,80,90,33,2008
Green Lantern,Acción,27,48,200,2011
Green Zone,Acción,53,60,100,2010
Greenberg,Comedia,75,40,0,2010
Grindhouse,Acción,82,86,53,2007
"Grown Ups	",Comedia,10,59,80,2010
Gulliver's Travels,Comedia,21,31,112,2010
Hachiko: A Dog's Story,Drama,58,85,16,2009
Hall Pass,Comedia,35,44,36,2011
Halloween,Terror,26,64,20,2007
Halloween II,Terror,20,45,15,2009
Hancock,Acción,40,67,150,2008
Hanna,Acción,71,67,30,2011
Hannah Montana: The Movie ,Comedia,44,66,35,2009
Harold and Kumar Escape from Guantanamo Bay,Aventura,54,65,12,2008
Harry Potter and the Deathly Hallows Part 1,Aventura,79,87,125,2010
Harry Potter and the Half-Blood Prince ,Aventura,83,75,250,2009
Harry Potter and the Order of the Phoenix,Aventura,78,82,150,2007
He's Just Not That Into You ,Comedia,42,60,25,2009
Hellboy II: The Golden Army,Acción,87,70,83,2008
Hesher,Drama,54,68,7,2010
High School Musical 3: Senior Year,Comedia,65,76,11,2008
Hitman,Acción,15,61,18,2007
Horrible Bosses,Comedia,69,72,35,2011
Hostel: Part II,Terror,44,45,10,2007
Hot Tub Time Machine,Aventura,64,57,36,2010
Hotel for Dogs ,Comedia,46,57,35,2009
Hugo,Aventura,93,84,150,2011
I Am Legend,Suspenso,69,69,150,2007
I Am Number Four,Suspenso,32,57,60,2011
I Love You Beth Cooper ,Comedia,14,38,18,2009
I Love You Phillip Morris,Comedia,71,57,15,2009
"I Love You, Man ",Comedia,83,72,40,2009
